"哪個函數在程式開始時只運行一次，用於初始化設定？","mousePressed()","preload()","draw()","setup()","D"
"哪個函數會重複執行，用於繪製畫面或執行動畫？","setup()","draw()","mouseClicked()","keyTyped()","B"
"用於在程式運行前載入外部檔案(如圖片、CSV)的函數是？","createCanvas()","preload()","background()","fill()","B"
"設定p5.js畫布寬度和高度的函數是？","createCanvas()","setSize()","canvas()","window()","A"
"設定圖形填充顏色的函數是？","stroke()","rect()","fill()","color()","C"
"設定圖形邊框顏色或線條顏色的函數是？","noStroke()","fill()","stroke()","strokeWeight()","C"
"p5.js 的畫布原點(0, 0)在哪個位置？","中心","左下角","右下角","左上角","D"
"在編寫 P5.js 或 JavaScript 程式碼時，使用 Tab 鍵或空格來進行縮排的主要目的是？","減少檔案大小","提高程式碼的可讀性和結構清晰度","增加程式碼運行速度","儲存檔案","B"
"如果希望在程式運行期間，畫面只繪製一次，應該在 setup() 結束時呼叫哪個函數？","noLoop()","loop()","redraw()","background()","A"
"用於控制 Iframe 顯示或隱藏，以及 P5.js 文字是否顯示的全域變數是？","window.currentP5Mode","window.p5Instance","sidebar","triggerArea","A"
"改變視窗大小事件的函數是？","resizeCanvas()","draw()","setup()","windowResized()","D"
"函數 p.windowWidth 和 p.windowHeight 獲取的是什麼的尺寸？","畫布 (canvas) 的尺寸","瀏覽器視窗的尺寸","電腦螢幕的尺寸","滑鼠位置","B"
"繪製一個矩形的函數是？","circle()","triangle()","rect()","line()","C"
"P5.js 程式碼中，// 符號通常代表什麼？","程式錯誤","結束程式","註解","數學運算","C"
"程式碼中被 // 標記的內容，對於瀏覽器或P5.js來說，會如何處理？","忽略該行程式碼","執行該行程式碼","報錯並停止執行","將其視為字串","A"